Timestamp,"Sur une échelle de 0 (ils sont cool) à 5 (ils sont insupportables), lorsque vous vous déplacer à vélo, comment décririez-vous les comportement des automobilistes que vous croisez ?",Quel est votre code postal [Bruxelles]
2/3/2021 17:10:08,1,1160 Auderghem
2/3/2021 17:19:07,2,1080 Molenbeek-Saint-Jean
2/3/2021 17:20:36,1,1160 Auderghem
2/3/2021 17:22:24,3,1000 Bruxelles
2/3/2021 17:24:32,5,1030 Schaerbeek
2/3/2021 17:34:44,5,1000 Bruxelles
2/3/2021 17:47:33,5,1080 Molenbeek-Saint-Jean
2/3/2021 17:49:30,1,1160 Auderghem
2/3/2021 17:49:36,3,1160 Auderghem
2/3/2021 18:00:39,5,1030 Schaerbeek
2/3/2021 18:02:10,3,1160 Auderghem
2/3/2021 18:14:56,2,1190 Forest
2/3/2021 18:32:21,2,1160 Auderghem
2/3/2021 18:37:33,5,1050 Ixelles
2/3/2021 18:40:37,5,1030 Schaerbeek
2/3/2021 18:43:59,1,1200 Woluwe-Saint-Lambert
2/3/2021 18:46:31,1,1060 Saint-Gilles
2/3/2021 18:47:17,2,1160 Auderghem
2/3/2021 18:51:22,2,1200 Woluwe-Saint-Lambert
2/3/2021 18:52:05,5,1210 Saint-Josse-ten-Noode
2/3/2021 19:00:51,3,1083 Ganshoren
2/3/2021 19:22:47,4,1080 Molenbeek-Saint-Jean
2/3/2021 19:44:44,5,1030 Schaerbeek
2/3/2021 20:43:11,5,1070 Anderlecht
2/3/2021 21:02:22,2,1050 Ixelles
2/3/2021 21:58:04,3,1000 Bruxelles
2/3/2021 22:28:15,1,1150 Woluwe-Saint-Pierre
2/3/2021 22:44:35,1,1040 Etterbeek
2/4/2021 6:19:07,2,1000 Bruxelles
2/4/2021 9:36:51,1,1160 Auderghem
2/4/2021 11:16:46,2,1060 Saint-Gilles
2/4/2021 11:19:29,4,1030 Schaerbeek
2/4/2021 16:29:40,3,1180 Uccle
2/4/2021 20:14:38,3,1040 Etterbeek
2/4/2021 21:12:05,4,1190 Forest
